ENSRNOG00000028896 	 24153 100911545 
ENSRNOG00000032908 	 24157 
ENSRNOG00000009845 	 24158 
ENSRNOG00000016924 	 24159 
ENSRNOG00000005260 	 24161 
ENSRNOG00000013594 	 24162 
ENSRNOG00000029762 	 24163 
ENSRNOG00000010265 	 24165 
ENSRNOG00000049882 	 24166 
ENSRNOG00000012098 	 24167 
ENSRNOG00000013039 	 24170 
ENSRNOG00000015903 	 24171 
ENSRNOG00000012436 	 24172 310903 
ENSRNOG00000013887 	 24174 
ENSRNOG00000009299 	 24175 
ENSRNOG00000019217 	 24176 
ENSRNOG00000002889 	 24177 
ENSRNOG00000018445 	 24179 
ENSRNOG00000018346 	 24180 
ENSRNOG00000050006 	 24182 
ENSRNOG00000000122 	 24184 
ENSRNOG00000028629 	 24185 
ENSRNOG00000002911 	 24186 
ENSRNOG00000017619 	 24188 
ENSRNOG00000052802 	 24189 
ENSRNOG00000006807 	 24190 
ENSRNOG00000011452 	 24191 
ENSRNOG00000009513 	 24192 
ENSRNOG00000030020 	 24197 
ENSRNOG00000033529 	 24203 
ENSRNOG00000020423 	 24205 
ENSRNOG00000029572 	 24206 
ENSRNOG00000047503 	 24207 
ENSRNOG00000005639 	 24208 
ENSRNOG00000020434 	 24209 
ENSRNOG00000018693 	 24210 
ENSRNOG00000030019 	 24211 
ENSRNOG00000007290 	 24212 
ENSRNOG00000020263 	 24213 
ENSRNOG00000011227 	 24214 
ENSRNOG00000030269 	 24215 
ENSRNOG00000020985 	 24216 
ENSRNOG00000018543 	 24217 
ENSRNOG00000012878 	 24218 
ENSRNOG00000021229 	 24221 
ENSRNOG00000017123 	 24223 
ENSRNOG00000002791 	 24224 
ENSRNOG00000047466 	 24225 
ENSRNOG00000010549 	 24230 
ENSRNOG00000051235 	 24231 
ENSRNOG00000046834 	 24232 
ENSRNOG00000000443 	 24233 103689965 
ENSRNOG00000047657 	 24233 
ENSRNOG00000004062 	 24235 
ENSRNOG00000004125 	 24236 
ENSRNOG00000024115 	 24237 
ENSRNOG00000007090 	 24239 
ENSRNOG00000026474 	 24240 
ENSRNOG00000011130 	 24241 
ENSRNOG00000004060 	 24242 
ENSRNOG00000016770 	 24244 
ENSRNOG00000052080 	 24245 
ENSRNOG00000011589 	 24246 
ENSRNOG00000002265 	 24247 
ENSRNOG00000008364 	 24248 
ENSRNOG00000004222 	 24249 
ENSRNOG00000029528 	 24250 
ENSRNOG00000017874 	 24251 
ENSRNOG00000010918 	 24252 
ENSRNOG00000057347 	 24253 
ENSRNOG00000010406 	 24254 
ENSRNOG00000055103 	 24255 
ENSRNOG00000038101 	 24256 102557319 
ENSRNOG00000042250 	 24257 308394 
ENSRNOG00000052549 	 24258 
ENSRNOG00000021269 	 24259 
ENSRNOG00000049410 	 24260 
ENSRNOG00000014698 	 24261 
ENSRNOG00000010872 	 24264 
ENSRNOG00000016837 	 24265 
ENSRNOG00000001889 	 24267 
ENSRNOG00000011913 	 24268 
