ENSRNOP00000019346 	 24153 100911545 
ENSRNOP00000050691 	 24157 
ENSRNOP00000013238 	 24158 
ENSRNOP00000023447 	 24159 
ENSRNOP00000046597 	 24159 
ENSRNOP00000073397 	 24159 
ENSRNOP00000072548 	 24161 
ENSRNOP00000007287 	 24161 
ENSRNOP00000018620 	 24162 
ENSRNOP00000072471 	 24163 
ENSRNOP00000046900 	 24163 
ENSRNOP00000014151 	 24165 
ENSRNOP00000063920 	 24166 
ENSRNOP00000070007 	 24166 
ENSRNOP00000016175 	 24167 
ENSRNOP00000044267 	 24167 
ENSRNOP00000030759 	 24167 
ENSRNOP00000050048 	 24167 
ENSRNOP00000018072 	 24170 
ENSRNOP00000018340 	 24170 
ENSRNOP00000021491 	 24171 
ENSRNOP00000073973 	 24171 
ENSRNOP00000018584 	 24174 
ENSRNOP00000012322 	 24175 
ENSRNOP00000026098 	 24176 
ENSRNOP00000003879 	 24177 
ENSRNOP00000024917 	 24179 
ENSRNOP00000034687 	 24180 
ENSRNOP00000000134 	 24184 
ENSRNOP00000038369 	 24185 
ENSRNOP00000003921 	 24186 
ENSRNOP00000024000 	 24188 
ENSRNOP00000069540 	 24189 
ENSRNOP00000069507 	 24189 
ENSRNOP00000068764 	 24189 
ENSRNOP00000075134 	 24190 
ENSRNOP00000009111 	 24190 
ENSRNOP00000015535 	 24191 
ENSRNOP00000048591 	 24191 
ENSRNOP00000072735 	 24191 
ENSRNOP00000012879 	 24192 
ENSRNOP00000026190 	 24197 
ENSRNOP00000022496 	 24203 
ENSRNOP00000027691 	 24205 
ENSRNOP00000074593 	 24205 
ENSRNOP00000043843 	 24206 
ENSRNOP00000067045 	 24207 
ENSRNOP00000074692 	 24207 
ENSRNOP00000009129 	 24208 
ENSRNOP00000027688 	 24209 
ENSRNOP00000070316 	 24210 
ENSRNOP00000025254 	 24210 
ENSRNOP00000045650 	 24211 
ENSRNOP00000054947 	 24212 
ENSRNOP00000027497 	 24213 
ENSRNOP00000015076 	 24214 
ENSRNOP00000045983 	 24215 
ENSRNOP00000060489 	 24215 
ENSRNOP00000028508 	 24216 
ENSRNOP00000025957 	 24217 
ENSRNOP00000054880 	 24218 
ENSRNOP00000069905 	 24218 
ENSRNOP00000028833 	 24221 
ENSRNOP00000023017 	 24223 
ENSRNOP00000003768 	 24224 
ENSRNOP00000073647 	 24225 
ENSRNOP00000072849 	 24225 
ENSRNOP00000075479 	 24225 
ENSRNOP00000073265 	 24225 
ENSRNOP00000072315 	 24225 
ENSRNOP00000064356 	 24225 
ENSRNOP00000074338 	 24225 
ENSRNOP00000073685 	 24225 
ENSRNOP00000014089 	 24230 
ENSRNOP00000057340 	 24231 
ENSRNOP00000066885 	 24232 
ENSRNOP00000066934 	 24232 
ENSRNOP00000000514 	 24233 103689965 
ENSRNOP00000069699 	 24233 103689965 
ENSRNOP00000068572 	 24233 
ENSRNOP00000069352 	 24233 
ENSRNOP00000066721 	 24233 
ENSRNOP00000005461 	 24235 
ENSRNOP00000005505 	 24236 
ENSRNOP00000029891 	 24237 
ENSRNOP00000048580 	 24239 
ENSRNOP00000051397 	 24239 
ENSRNOP00000048790 	 24239 
ENSRNOP00000030030 	 24240 
ENSRNOP00000051997 	 24241 
ENSRNOP00000014948 	 24241 
ENSRNOP00000063822 	 24242 
ENSRNOP00000022603 	 24244 
ENSRNOP00000068938 	 24245 
ENSRNOP00000073205 	 24245 
ENSRNOP00000058882 	 24245 
ENSRNOP00000016026 	 24246 
ENSRNOP00000015559 	 24246 
ENSRNOP00000062625 	 24246 
ENSRNOP00000003092 	 24247 
ENSRNOP00000070633 	 24247 
ENSRNOP00000069629 	 24247 
ENSRNOP00000011230 	 24248 
ENSRNOP00000005622 	 24249 
ENSRNOP00000042958 	 24250 
ENSRNOP00000039968 	 24250 
ENSRNOP00000024344 	 24251 
ENSRNOP00000063123 	 24252 
ENSRNOP00000071427 	 24253 
ENSRNOP00000014572 	 24254 
ENSRNOP00000072565 	 24255 
ENSRNOP00000054798 	 24256 102557319 
ENSRNOP00000069736 	 24256 102557319 
ENSRNOP00000054796 	 24256 102557319 
ENSRNOP00000054809 	 24256 102557319 
ENSRNOP00000074458 	 24256 102557319 
ENSRNOP00000033854 	 24257 308394 
ENSRNOP00000073178 	 24257 308394 
ENSRNOP00000054868 	 24257 308394 
ENSRNOP00000070296 	 24258 
ENSRNOP00000028892 	 24259 
ENSRNOP00000019947 	 24261 
ENSRNOP00000015122 	 24264 
ENSRNOP00000022895 	 24265 
