ENSMUSP00000000356	ENSP00000448051
ENSMUSP00000032824	ENSP00000157812
ENSMUSP00000026560	ENSP00000396937
ENSMUSP00000051408	ENSP00000344551
ENSMUSP00000032201	ENSP00000347942
ENSMUSP00000079231	ENSP00000311816
ENSMUSP00000108871	ENSP00000358956
ENSMUSP00000052020	ENSP00000420213
ENSMUSP00000101060	ENSP00000336630
ENSMUSP00000023867	ENSP00000055077
ENSMUSP00000047950	ENSP00000348554
ENSMUSP00000027777	ENSP00000355759
ENSMUSP00000038181	ENSP00000265713
ENSMUSP00000076160	ENSP00000356641
ENSMUSP00000035964	ENSP00000372193
ENSMUSP00000110198	ENSP00000359300
ENSMUSP00000103252	ENSP00000365931
ENSMUSP00000098558	ENSP00000382688
ENSMUSP00000073188	ENSP00000253727
ENSMUSP00000112266	ENSP00000396052
ENSMUSP00000042987	ENSP00000261991
ENSMUSP00000137476	ENSP00000378394
ENSMUSP00000069744	ENSP00000254066
ENSMUSP00000054150	ENSP00000298854
ENSMUSP00000038204	ENSP00000308620
ENSMUSP00000129784	ENSP00000354718
ENSMUSP00000017732	ENSP00000301656
ENSMUSP00000037627	ENSP00000363942
ENSMUSP00000077584	ENSP00000299440
ENSMUSP00000029303	ENSP00000296543
ENSMUSP00000112110	ENSP00000080059
ENSMUSP00000069900	ENSP00000329243
ENSMUSP00000082183	ENSP00000409346
ENSMUSP00000038121	ENSP00000329418
ENSMUSP00000059129	ENSP00000330341
ENSMUSP00000051789	ENSP00000388548
ENSMUSP00000001304	ENSP00000299198
ENSMUSP00000064755	ENSP00000358417
ENSMUSP00000028232	ENSP00000363003
ENSMUSP00000103207	ENSP00000376123
ENSMUSP00000113341	ENSP00000352929
ENSMUSP00000023873	ENSP00000319169
ENSMUSP00000098997	ENSP00000358866
ENSMUSP00000025811	ENSP00000366098
ENSMUSP00000050897	ENSP00000305416
ENSMUSP00000026667	ENSP00000269349
ENSMUSP00000000080	ENSP00000419923
ENSMUSP00000099962	ENSP00000361076
ENSMUSP00000028977	ENSP00000364864
ENSMUSP00000087073	ENSP00000258080
ENSMUSP00000027956	ENSP00000346997
ENSMUSP00000026826	ENSP00000248139
ENSMUSP00000111173	ENSP00000385795
ENSMUSP00000051657	ENSP00000215071
ENSMUSP00000066621	ENSP00000330836
ENSMUSP00000047480	ENSP00000419952
ENSMUSP00000039027	ENSP00000301364
ENSMUSP00000050680	ENSP00000358784
ENSMUSP00000041702	ENSP00000314520
ENSMUSP00000037958	ENSP00000328511
ENSMUSP00000003318	ENSP00000316054
ENSMUSP00000084507	ENSP00000360472
ENSMUSP00000030948	ENSP00000368169
ENSMUSP00000019362	ENSP00000005340
ENSMUSP00000029400	ENSP00000353679
ENSMUSP00000023614	ENSP00000381932
ENSMUSP00000087119	ENSP00000308208
ENSMUSP00000024888	ENSP00000354775
ENSMUSP00000077757	ENSP00000353878
ENSMUSP00000025910	ENSP00000309103
ENSMUSP00000103815	ENSP00000257749
ENSMUSP00000099534	ENSP00000452780
ENSMUSP00000026703	ENSP00000286800
ENSMUSP00000114843	ENSP00000366395
ENSMUSP00000117496	ENSP00000346389
ENSMUSP00000036749	ENSP00000363458
ENSMUSP00000019076	ENSP00000345083
ENSMUSP00000121111	ENSP00000262948
ENSMUSP00000033201	ENSP00000308772
ENSMUSP00000027144	ENSP00000402608
ENSMUSP00000133279	ENSP00000362748
ENSMUSP00000020949	ENSP00000468348
ENSMUSP00000003117	ENSP00000388996
ENSMUSP00000033770	ENSP00000395535
ENSMUSP00000045073	ENSP00000305790
ENSMUSP00000103169	ENSP00000300651
ENSMUSP00000029780	ENSP00000412788
ENSMUSP00000109348	ENSP00000361824
ENSMUSP00000006629	ENSP00000349259
ENSMUSP00000075579	ENSP00000261609
ENSMUSP00000023159	ENSP00000262370
ENSMUSP00000096197	ENSP00000379369
ENSMUSP00000095914	ENSP00000355593
ENSMUSP00000054356	ENSP00000357068
ENSMUSP00000047403	ENSP00000349298
ENSMUSP00000025965	ENSP00000239027
ENSMUSP00000079180	ENSP00000435096
